ID,Categorie,Nom,Brand,Prix,Type_Contribution,Description,ImageURL,ProductLink,Offert_par
17,Electronique,Air Tags,Apple,129,unique,Pour eviter de perdre nos affaires,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/airtag-witb-202104?wid=600&hei=600&fmt=jpeg&qlt=90&.v=YURXOCtZQTdYOGlnRitPSjIzMHBkY0ZYcjRTeDl4U3JvbFlqUjZlbExkTXdwbExaVnI3RWJOQTlXSzBhOGtyV1pJKzh2bXZLU0VBb3poRzNjczhaTmo4a0pEeU5mc3RBRFJXS25FWGNMUHM,https://www.apple.com/ie/shop/buy-airtag/airtag/4-pack,
18,Experiences,Diner Chapter One (⭐⭐),Chapter One,640,partiel,"C'est LE restaurant qu'il faut faire à Dublin, on attend juste la bonne occasion",https://chapteronerestaurant.com/wp-content/uploads/2022/04/Demi_Salle.jpg,https://chapteronerestaurant.com/,
19,Cuisine,Set de casseroles Inox,Alessi,485,partiel,Jeu de 9 casseroles inox. Pour cuisiner quoi,https://cdn-images.farfetch-contents.com/19/49/67/31/19496731_43622173_1000.jpg,https://alessi.com/fr/products/pots-pans-pots-and-pans-set-9-pieces,
20,Home,Bubble,Rochebobois,3300,partiel,"On a pas la place maintenant mais si vous voulez nous l'offrir, on sera tous content de pouvoir s'asseoir dessus",https://assets.wfcdn.com/im/26078022/compr-r85/2993/299386977/Basilius.jpg,https://www.roche-bobois.com/en-IE/product/bubble-armchair-/A942181820.html,
21,Cuisine,Set de 24 couverts,Sabre Paris,215,unique,"Des beaux couverts, pour manger tout ce qu'on aura longuement cuisiné",https://sabre-paris.com/cdn/shop/files/2346-024-0002-3.jpg?v=1763165382&width=1300,https://sabre-paris.com/en/products/bistrot-uni-ivoire_8562,
22,Cuisine,Cocotte 8en1,Cookut,129,unique,"Une cocotte à tout faire (four, plaque etc)",https://www.cookut.com/img/cms/New%20Landing%20Page/new%20new.png,https://www.cookut.com/en/my-customisable-casserole-dish,
23,Voyage de Noce,Nuit Four Seasons,Four Seasons,2500,partiel,C'est le genre d'hotel qu'on fera qu'une fois dans notre vie,"https://www.fourseasons.com/alt/img-opt/~80.3060.0,0000-0,0000-1600,0000-900,0000/publish/content/dam/fourseasons/images/web/BOR/BOR_1431_aspect16x9.jpg",https://www.fourseasons.com/borabora/accommodations/overwater_bungalows/one-bedroom-beach-view-overwater-bungalow-suite/,
24,Voyage de Noce,Plongées,Centre de plongé local,350,unique,"Quitte à être sur place, autant voir plein de petits poissons non ? ","https://static.wixstatic.com/media/6b2dee_ad73c51ac197451886f6e58840707f51~mv2.jpg/v1/fill/w_846,h_558,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Bora%20Bora%20Ocean%20Adventures%20-%20Scuba%20Diving-109.jpg",,
25,Home,Grande Serviette pour Elise,Bonsoirs,65,unique,Serviette taille 100x150,https://cdn.shopify.com/s/files/1/2171/4151/files/bonsoirs-serviette-bain-wavy-raye-terracotta-rose-pp-2-gads.jpg?width=1440,https://www.bonsoirs.com/fr-fr/products/serviette-de-bain-wavy-raye-terracotta-rose?size=100x150,
26,Home,Grande Serviette pour Maxime,Bonsoirs,65,unique,Serviette taille 100x150,https://cdn.shopify.com/s/files/1/2171/4151/files/bonsoirs-serviette-bain-wavy-raye-vert-foret-celadon-pp-2-gads.jpg?width=1440,https://www.bonsoirs.com/fr-fr/products/serviette-de-bain-wavy-raye-vert-bleu?size=100x150,
27,Home,Petite serviette pour Elise,Bonsoirs,35,unique,Serviette taille 50x100,https://cdn.shopify.com/s/files/1/2171/4151/files/bonsoirs-serviette-detoilette-wavy-raye-terracotta-rose-pp-5.jpg?width=1440,https://www.bonsoirs.com/fr-fr/products/serviette-de-bain-wavy-raye-terracotta-rose?size=50x100,
28,Home,Petite serviette pour Maxime,Bonsoirs,35,unique,Serviette taille 50x100,https://cdn.shopify.com/s/files/1/2171/4151/files/bonsoirs-drap-de-bain-wavy-raye-vert-foret-celadon-pp-1_f391ac57-8970-47ad-93f9-0b56649a3f59.png?width=1440,https://www.bonsoirs.com/fr-fr/products/serviette-de-bain-wavy-raye-vert-bleu?size=50x100,
